MR,Prognostic Cancer Subtypes,Total Cancer Subtypes
SPI1,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
ITGB2,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
DCN,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
TFEC,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
CD4,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
TNFSF8,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
CD86,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
HCK,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
PLEK,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
NFAM1,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
SFRP4,LGG KIRP PAAD MESO COAD BLCA STAD LUAD OV,9
IL6,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD OV,9
HSF4,LGG KIRP PAAD MESO KIRC COAD BLCA STAD LUAD,9
TRIM52,LGG KIRP PAAD MESO KIRC COAD BLCA STAD LUAD,9
CDH13,LGG KIRP PAAD MESO KIRC COAD STAD LUAD OV,9
TGFB1,LGG KIRP PAAD MESO KIRC COAD STAD LUAD OV,9
PRRX1,KIRP PAAD MESO KIRC COAD BLCA STAD LUAD OV,9
GREM1,KIRP PAAD MESO KIRC COAD BLCA STAD LUAD OV,9
TGFB1I1,KIRP PAAD MESO KIRC COAD BLCA STAD LUAD OV,9
MEIS3,KIRP PAAD MESO KIRC COAD BLCA STAD LUAD OV,9
CAVIN1,LGG PAAD KIRC COAD BLCA STAD LUAD OV,8
LILRB4,LGG PAAD KIRC COAD BLCA STAD LUAD OV,8
MECOM,LGG KIRP MESO KIRC COAD BLCA STAD LUAD,8
NLRP3,LGG PAAD KIRC COAD BLCA STAD LUAD OV,8
TMIGD3,LGG PAAD KIRC COAD BLCA STAD LUAD OV,8
CXCL10,LGG KIRP PAAD COAD BLCA STAD LUAD OV,8
FLI1,LGG KIRP PAAD KIRC COAD BLCA STAD OV,8
DAB2,LGG PAAD KIRC COAD BLCA STAD LUAD OV,8
RHOH,LGG KIRP PAAD KIRC COAD BLCA LUAD OV,8
VGLL3,LGG KIRP PAAD KIRC COAD STAD LUAD OV,8
ZNF785,LGG KIRP PAAD MESO KIRC BLCA STAD LUAD,8
BOLA1,LGG KIRP PAAD MESO KIRC COAD BLCA STAD,8
ZNF692,LGG KIRP KIRC COAD BLCA STAD LUAD OV,8
CARF,LGG KIRP KIRC COAD BLCA STAD LUAD OV,8
MED11,LGG KIRP PAAD MESO KIRC COAD BLCA LUAD,8
SMO,LGG KIRP PAAD COAD BLCA STAD LUAD OV,8
SARNP,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD,8
MZF1,LGG KIRP PAAD KIRC COAD BLCA STAD LUAD,8
HOPX,LGG KIRP PAAD KIRC COAD STAD LUAD OV,8
ERG,KIRP MESO KIRC COAD BLCA STAD LUAD OV,8
ZNF789,KIRP PAAD KIRC COAD BLCA STAD LUAD OV,8
SULF1,KIRP PAAD KIRC COAD BLCA STAD LUAD OV,8
GTF2IRD2,KIRP PAAD KIRC COAD BLCA STAD LUAD OV,8
ZNF862,KIRP PAAD KIRC COAD BLCA STAD LUAD OV,8
CYR61,KIRP PAAD MESO COAD BLCA STAD LUAD OV,8
GTF2IRD2B,KIRP PAAD KIRC COAD BLCA STAD LUAD OV,8
ZNF469,PAAD MESO KIRC COAD BLCA STAD LUAD OV,8
LZTS1,PAAD MESO KIRC COAD BLCA STAD LUAD OV,8
ACTN1,LGG PAAD MESO KIRC BLCA STAD LUAD,7
TGFB2,LGG KIRP PAAD MESO KIRC BLCA STAD,7
CAV1,LGG KIRP PAAD COAD BLCA STAD OV,7
FANK1,LGG KIRP MESO KIRC COAD LUAD OV,7
HAVCR2,LGG PAAD COAD BLCA STAD LUAD OV,7
ACVRL1,LGG PAAD MESO KIRC BLCA STAD OV,7
IKZF1,LGG KIRP PAAD KIRC COAD BLCA OV,7
DEPDC1,LGG KIRP MESO KIRC COAD STAD LUAD,7
SLC11A1,LGG PAAD COAD BLCA STAD LUAD OV,7
CENPF,LGG KIRP MESO KIRC COAD STAD LUAD,7
FOXM1,LGG KIRP MESO KIRC COAD STAD LUAD,7
BIRC5,LGG KIRP MESO KIRC COAD STAD LUAD,7
TOP2A,LGG KIRP MESO KIRC COAD STAD LUAD,7
CD3D,LGG KIRP PAAD KIRC COAD BLCA OV,7
IL16,LGG KIRP PAAD KIRC COAD BLCA OV,7
FOSL1,LGG KIRP PAAD KIRC BLCA LUAD OV,7
ICAM1,LGG PAAD KIRC COAD BLCA STAD OV,7
MNDA,LGG KIRP PAAD COAD BLCA STAD OV,7
TSSK4,LGG KIRP KIRC COAD BLCA STAD LUAD,7
APBB3,LGG KIRP KIRC COAD BLCA STAD LUAD,7
ZEB2,LGG PAAD COAD BLCA STAD LUAD OV,7
ZNF337,LGG KIRP KIRC COAD BLCA STAD LUAD,7
HDAC10,LGG PAAD KIRC COAD BLCA STAD LUAD,7
ZNF23,LGG KIRP KIRC COAD BLCA STAD LUAD,7
S1PR1,LGG KIRP MESO COAD BLCA STAD OV,7
ZNF276,LGG KIRP KIRC COAD BLCA STAD LUAD,7
ZC3H8,LGG KIRP PAAD KIRC COAD STAD LUAD,7
STK36,LGG KIRP KIRC COAD BLCA LUAD OV,7
GLI4,LGG KIRP MESO KIRC COAD BLCA LUAD,7
MYOCD,LGG KIRP KIRC COAD BLCA STAD OV,7
ZNF169,LGG KIRP KIRC COAD BLCA STAD LUAD,7
ZNF354B,LGG KIRP KIRC COAD BLCA STAD LUAD,7
ZNF688,LGG KIRP PAAD MESO KIRC COAD BLCA,7
ZRANB2,LGG KIRP COAD BLCA STAD LUAD OV,7
LHX4,LGG KIRP KIRC COAD BLCA STAD LUAD,7
NOTCH3,KIRP PAAD MESO KIRC COAD STAD LUAD,7
AGER,KIRP KIRC COAD BLCA STAD LUAD OV,7
RBM39,KIRP KIRC COAD BLCA STAD LUAD OV,7
TAF1C,KIRP KIRC COAD BLCA STAD LUAD OV,7
LPIN3,KIRP MESO KIRC COAD BLCA STAD LUAD,7
SOX18,KIRP MESO KIRC COAD BLCA STAD LUAD,7
OSM,KIRP PAAD KIRC COAD BLCA STAD OV,7
ALKBH4,KIRP PAAD KIRC COAD BLCA STAD OV,7
ZNF19,KIRP PAAD KIRC COAD BLCA LUAD OV,7
MRPL12,KIRP PAAD MESO KIRC COAD BLCA STAD,7
KANK2,PAAD MESO KIRC COAD BLCA STAD LUAD,7
MEF2C,PAAD MESO KIRC COAD BLCA STAD OV,7
ZEB1,PAAD KIRC COAD BLCA STAD LUAD OV,7
DKK3,PAAD MESO KIRC COAD BLCA STAD LUAD,7
MSC,PAAD KIRC COAD BLCA STAD LUAD OV,7
FLNA,LGG PAAD KIRC COAD BLCA STAD,6
CCNL2,LGG KIRP COAD BLCA STAD LUAD,6
TCEA3,LGG KIRP PAAD KIRC COAD LUAD,6
ITGA3,LGG KIRP PAAD KIRC LUAD OV,6
NCF1,LGG PAAD COAD BLCA LUAD OV,6
CD74,LGG KIRP PAAD COAD BLCA OV,6
LYL1,LGG KIRP KIRC BLCA STAD OV,6
CDC45,LGG MESO KIRC COAD STAD LUAD,6
CCNA2,LGG MESO KIRC COAD STAD LUAD,6
DLGAP5,LGG MESO KIRC COAD STAD LUAD,6
CD28,LGG PAAD KIRC COAD BLCA OV,6
AURKB,LGG MESO KIRC COAD STAD LUAD,6
TLR2,LGG PAAD KIRC COAD STAD OV,6
PYHIN1,LGG KIRP PAAD COAD BLCA OV,6
PSMB9,LGG PAAD COAD BLCA LUAD OV,6
EOMES,LGG KIRP PAAD COAD BLCA OV,6
S100A9,LGG KIRP PAAD COAD BLCA LUAD,6
PLK1,LGG MESO KIRC COAD STAD LUAD,6
ATP8B1,LGG MESO KIRC BLCA STAD LUAD,6
L3MBTL1,LGG KIRP KIRC BLCA LUAD OV,6
DDX17,LGG KIRP KIRC BLCA STAD LUAD,6
CENPT,LGG KIRP KIRC COAD BLCA LUAD,6
APBB1,LGG KIRP KIRC COAD BLCA STAD,6
KAT2A,LGG KIRP KIRC COAD BLCA LUAD,6
ZNF133,LGG KIRP PAAD BLCA STAD LUAD,6
PDE2A,LGG KIRP COAD BLCA STAD LUAD,6
NOTCH4,LGG KIRP MESO COAD STAD OV,6
FOXC2,LGG KIRP MESO KIRC BLCA OV,6
GATAD1,LGG KIRP MESO KIRC COAD LUAD,6
FBXL15,LGG KIRP PAAD KIRC COAD LUAD,6
MXD3,LGG KIRP COAD BLCA STAD LUAD,6
TNFAIP3,LGG KIRP PAAD BLCA LUAD OV,6
CDK11A,LGG KIRP COAD BLCA STAD LUAD,6
HMGA2,LGG PAAD KIRC BLCA LUAD OV,6
MSRB2,LGG KIRP MESO KIRC COAD LUAD,6
APOE,LGG PAAD KIRC COAD BLCA STAD,6
TAF1D,LGG COAD BLCA STAD LUAD OV,6
SAP18,LGG KIRP PAAD KIRC COAD LUAD,6
PTGES2,LGG KIRP PAAD KIRC COAD STAD,6
DMTF1,KIRP KIRC COAD BLCA STAD LUAD,6
DDX39B,KIRP KIRC COAD BLCA STAD LUAD,6
PABPC1L,KIRP COAD BLCA STAD LUAD OV,6
CDK5RAP3,KIRP KIRC COAD BLCA STAD LUAD,6
CMKLR1,KIRP KIRC COAD BLCA STAD OV,6
PNN,KIRP COAD BLCA STAD LUAD OV,6
POU2AF1,KIRP PAAD KIRC COAD BLCA LUAD,6
ANKRD49,KIRP PAAD KIRC COAD BLCA STAD,6
SOX17,KIRP MESO KIRC COAD BLCA STAD,6
PAXBP1,KIRP KIRC COAD BLCA STAD LUAD,6
EFCAB6,KIRP PAAD MESO KIRC LUAD OV,6
RECQL5,KIRP KIRC COAD BLCA STAD LUAD,6
ELP6,KIRP PAAD COAD BLCA STAD LUAD,6
MED31,KIRP PAAD MESO COAD BLCA LUAD,6
TLR4,KIRP PAAD KIRC STAD LUAD OV,6
SLIRP,KIRP PAAD KIRC COAD BLCA STAD,6
BNC2,PAAD COAD BLCA STAD LUAD OV,6
HAND2,PAAD KIRC COAD BLCA STAD OV,6
ZNF423,PAAD KIRC COAD STAD LUAD OV,6
PIDD1,PAAD KIRC COAD STAD LUAD OV,6
