MR,Adj_Pval
FANK1,2.01155089916898e-67
ZRANB2,3.79038316245834e-49
STK36,2.19278952478703e-65
GATAD1,2.93726628812072e-39
LPIN3,9.20356414256521e-47
CDK11A,2.6779792444346e-52
ZNF789,8.23430636481324e-54
PABPC1L,3.01379651136918e-57
CCNL2,2.79860681369337e-37
PAXBP1,2.09283021964602e-68
PNN,2.91247522931551e-72
ELP6,4.09106299706348e-53
MXD3,3.1244308218364e-21
ALKBH4,1.16661173061062e-39
MED31,5.68005953274223e-29
MRPL12,1.98390274751073e-14
TCEA3,1.69944605343046e-44
EFCAB6,1.94043510834299e-97
MZF1,2.8887188920016e-80
RBM39,5.27431563338034e-51
ZNF862,7.76359786197922e-15
ZNF688,1.54614979242608e-43
SAP18,1.08252162883042e-17
MECOM,3.49912396981367e-20
ATP8B1,7.6537546382876e-05
CDK5RAP3,2.31818689590853e-90
MED11,1.04371246525911e-89
PIDD1,6.25217470231709e-52
TRIM52,3.36802798329974e-112
AGER,5.25566306767305e-126
ZNF354B,3.37682243461169e-55
ZNF23,3.35178495338178e-83
RECQL5,6.17827601300534e-61
ZNF337,5.49266860159506e-75
ANKRD49,9.32837628455539e-67
DDX39B,1.16542184783023e-74
GLI4,3.03958892530536e-67
HDAC10,3.68689239942564e-73
HSF4,1.74882647163314e-102
APBB3,2.29992749894391e-113
BOLA1,2.41145588487214e-58
SARNP,2.83814589736422e-71
GTF2IRD2,2.47093130406484e-109
GTF2IRD2B,2.00735709235504e-134
ZNF19,1.27428211492878e-144
ZNF785,3.9563256735892e-88
ZNF133,7.66943395245954e-69
ZC3H8,3.00047988278849e-87
LHX4,1.7203148723572e-137
TSSK4,2.05381386790772e-88
L3MBTL1,4.77603162015806e-110
KAT2A,6.48096356625078e-93
ZNF692,2.43483332998219e-91
ZNF169,1.45338731741095e-113
TAF1D,4.14828829108873e-56
TAF1C,3.05395059690803e-87
CENPT,6.76405361495108e-54
DDX17,1.88147882609346e-55
DMTF1,6.47611123972661e-39
CARF,1.06662650895756e-91
ZNF276,7.98378139875731e-85
PTGES2,1.20333009083514e-34
SLIRP,5.25270048172305e-20
FBXL15,1.4978713231886e-91
MSRB2,2.14343979333795e-11
HMGA2,1.61795773992697e-35
TOP2A,0.0427786029701901
DEPDC1,3.70209154171628e-15
CENPF,3.76459795214929e-18
CDC45,7.26552724473624e-05
DLGAP5,3.21625315957752e-20
BIRC5,1.05807721145059e-12
CCNA2,1.6613257408914e-22
FOXM1,3.47682828948787e-13
PLK1,2.83199720358271e-17
AURKB,5.02519219790527e-12
NOTCH4,1.77407189358244e-39
MYOCD,5.55968996553343e-24
KANK2,5.68249744182411e-66
SOX17,6.52187508459399e-31
PDE2A,5.84217812106392e-24
APBB1,0.00107077122089024
CDH13,1.93290699573856e-76
ZNF469,8.61598757612112e-140
MEIS3,2.10216235804152e-121
CMKLR1,2.22727888336317e-90
ZEB1,5.29410002768325e-60
ZEB2,9.04444797842035e-105
VGLL3,3.19177523504568e-123
IL6,1.26319642774162e-187
SFRP4,2.11824064105619e-164
SULF1,1.89772585328582e-186
NOTCH3,1.33169033020864e-64
HOPX,3.43635478348069e-77
DCN,5.93429770246206e-140
CAV1,2.78074788567559e-144
MEF2C,2.49130480736868e-70
ERG,1.32954859301261e-61
S1PR1,1.70724419034506e-77
LZTS1,8.24837215259856e-119
TGFB1,3.09547671221386e-151
SOX18,1.07977841989778e-80
FLI1,3.92372301213226e-133
ACVRL1,3.05704697227846e-73
LYL1,6.10770656689052e-74
ACTN1,2.27278869061539e-178
TGFB1I1,3.61244215146942e-173
TGFB2,1.10252708408131e-83
FLNA,2.72190414009051e-155
CYR61,1.5690432014433e-114
TNFAIP3,2.54043169472794e-129
MSC,5.71549435995036e-107
FOXC2,7.06834103299511e-60
DKK3,1.26873474258181e-57
PRRX1,3.59088227802358e-199
GREM1,1.92754888305013e-175
ITGA3,9.73050126447508e-62
PSMB9,1.35108505874833e-33
DAB2,8.55048756080115e-34
PYHIN1,1.99051283235742e-92
CD3D,2.05456769239891e-96
EOMES,1.0565279817794e-83
CD74,1.59335222398429e-38
CXCL10,4.04738249956919e-59
S100A9,3.68347211602714e-87
OSM,8.30794874128419e-137
FOSL1,2.31672663093502e-109
SMO,1.8198687678728e-52
CAVIN1,1.90517252882074e-115
TFEC,2.67476950682834e-55
HAVCR2,1.59515904108281e-69
POU2AF1,1.8509910021863e-66
TLR4,5.3598878264205e-96
BNC2,2.37691542021506e-104
APOE,1.66802817517553e-111
TLR2,2.59305786455621e-79
SLC11A1,1.85649327523318e-114
NCF1,1.11961179987674e-101
NFAM1,6.27254028625254e-110
CD28,1.65997006002068e-89
NLRP3,9.6172514899062e-98
TNFSF8,3.26603889909823e-93
TMIGD3,3.16116631213525e-97
ICAM1,3.30610990953906e-143
ITGB2,3.20789616784014e-136
HAND2,5.80894372013988e-94
IL16,1.90517252882074e-115
IKZF1,2.04186021539204e-130
RHOH,1.19117990585982e-131
CD4,1.99724784804114e-146
MNDA,8.94768134001159e-118
PLEK,2.94463761358626e-134
LILRB4,6.38460845789148e-129
SPI1,1.27431781892493e-116
HCK,2.04889159235409e-125
CD86,6.51810633551535e-111
